,odds_ratio,ci_low,ci_high,p_value
checkup_recency_5 or more years,8.205588504388254,7.510680254018629,8.96479152701548,0.0
checkup_recency_Never,5.886760829492468,4.585476022785788,7.5573294662205495,5.646810237840307e-44
checkup_recency_2 to < 5 years,3.5069368289891667,3.2662270629416903,3.7653860817147207,4.24646881784037e-262
checkup_recency_Not reported,2.446918501146181,2.127675687689672,2.814061459598139,4.214662097707938e-36
personal_doctor_No personal doctor,2.1097113964872225,1.9997281691706323,2.2257436010985563,1.89807307160112e-164
checkup_recency_1 to < 2 years,1.9466588478906584,1.8572219892400035,2.0404026508547233,1.3726983038000374e-169
insurance_status_Uninsured,1.654194351791988,1.5356608682560091,1.7818771123653707,3.575946027341292e-40
cost_barrier_Not reported,1.5697754481790285,1.2576393177918204,1.9593812970417746,6.702988402743063e-05
employment_status_Student,1.5476528388272865,1.2035940690144566,1.9900640682713344,0.000662763646732525
"race_ethnicity_Other race only, non-Hispanic",1.5372202029627648,1.4474597468507349,1.6325469205884358,1.4133402594640326e-44
general_health__not_reported,1.4629595897420151,1.1091202897326429,1.9296831741614244,0.007080122059899666
personal_doctor_Not reported,1.4220702855735174,1.2283341312833944,1.6463630258309379,2.4501036584508142e-06
marital_status_Never married,1.4011812686677667,1.337911702516186,1.4674428394437788,1.9409225195864637e-46
marital_status_Separated,1.347651928256758,1.237602510710187,1.4674871002741974,6.666337469579493e-12
smoking_status_Current smoker - every day,1.3266040120253235,1.2666324945923506,1.3894150136169363,4.85470639820928e-33
marital_status_Widowed,1.2859477303237266,1.2197295831019317,1.355760807997512,1.1217440510062123e-20
marital_status_Not reported,1.2334984370540552,1.0606044145450455,1.4345767124375624,0.006457286541310307
bmi_category_Not reported,1.2268996312433262,1.154514689625349,1.3038229124945033,4.3720638361744795e-11
marital_status_Divorced,1.2129606246444204,1.1670321279940536,1.260696635204613,1.0928427139392331e-22
cost_barrier_Yes,1.2018045241156898,1.1443235995242504,1.2621727934173672,1.9634580081834753e-13
urban_rural_Rural,1.1988021310835295,1.1542179417738954,1.2451084820963012,6.788407368660609e-21
smoking_status_Current smoker - some days,1.1879077712458028,1.1061406107628626,1.2757192523769394,2.2196098075905586e-06
bmi_category_Underweight,1.184784760112482,1.0492822152274244,1.3377858763102606,0.006213911846674274
race_ethnicity_Hispanic,1.1793854089958644,1.1200541582395191,1.2418595410945237,3.726236687347692e-10
race_ethnicity_Not reported,1.173558545841337,1.0648497030132755,1.29336530462465,0.0012515393153714838
marital_status_Member of an unmarried couple,1.1587143516963547,1.0705376191460187,1.2541539174476912,0.00026448691420635697
employment_status_Homemaker,1.1485460538929568,1.0660179484579984,1.23746325267905,0.000272267509215088
"race_ethnicity_Multiracial, non-Hispanic",1.1471472710825241,1.0454445412525164,1.2587438258326786,0.003752726547766297
insurance_status_Not reported,1.144508593285271,1.0587441495513639,1.2372204565747933,0.0006829541797680976
diabetes_status_Diabetes during pregnancy only,1.0969708456695602,0.9352422255657229,1.286666708746061,0.25541871228519464
sex_Male,1.0891461918800032,1.0584843334170555,1.1206962539135852,4.598742556436167e-09
bmi_category_Normal weight,1.0856861476082542,1.0459810866174424,1.1268983982494856,1.5259068782477775e-05
heart_disease_Not reported,1.0772079593635189,0.9415221802070401,1.2324478510542898,0.27892962387074716
employment_status_Self-employed,1.0747807549681643,1.0260526403527044,1.1258230092881534,0.0023159372464380146
smoking_status_Not reported,1.0311403808931043,0.9138953519838843,1.1634269534255448,0.618530058541984
general_health__rank,1.0011997154291195,0.9862727830844537,1.0163525622601666,0.8756832159580722
diabetes_status_Not reported,0.9958829692087471,0.7229234759788985,1.371905770547946,0.9798614133766888
bmi_category_Overweight,0.9806953240103936,0.9486495778721784,1.013823587728871,0.2501347268216597
urban_rural_Not reported,0.9696639712747623,0.9006854725049172,1.043925150222971,0.41324133256957973
heart_disease_CHD or MI reported,0.9471934574386739,0.9025443050015942,0.9940514175789347,0.027655107446415438
smoking_status_Former smoker,0.9410991341291111,0.9116592222295496,0.9714897394363848,0.0001813296310447155
diabetes_status_Diabetes,0.9380307680677114,0.9030486925879546,0.9743679704801745,0.0009701944755608893
employment_status_Out of work for 1 year or more,0.9270008579846943,0.8449263536396462,1.0170479202153713,0.10902836920406327
"race_ethnicity_Black only, non-Hispanic",0.902807893895445,0.8571104113510271,0.9509417718951529,0.00011430770152545208
income_group__rank,0.8966731774497164,0.8864495146450451,0.9070147525318686,1.494692194306765e-77
employment_status_Out of work for less than 1 year,0.8784604048158896,0.7966003783495487,0.968732508548568,0.009418672031885407
employment_status_Not reported,0.8540967447217002,0.7408908947885751,0.9846001003324168,0.029713557188544733
education_level__rank,0.8421247727628332,0.828613980971634,0.8558558619410148,2.72008634680253e-96
diabetes_status_Prediabetes or borderline diabetes,0.8378710881455868,0.7736493375922173,0.9074239791055071,1.376484053434352e-05
employment_status_Retired,0.8112376227442121,0.7783874989662145,0.8454741133814707,3.4451340980224626e-23
education_level__not_reported,0.7947875417147618,0.6473243205562647,0.9758435090499413,0.028271691041365055
employment_status_Unable to work,0.7517267392037233,0.7117211454950456,0.7939810331767028,1.484513440249397e-24
age_group__rank,0.7324432768668251,0.7249781350296409,0.7399852877017854,0.0
income_group__not_reported,0.672839804871373,0.6319301042579039,0.7163979053521804,3.3181188912359657e-35
age_group__not_reported,0.5440498301029897,0.4960385826552858,0.596708054544188,3.7682312095679825e-38
